
Solucion numero: 1
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	4	1		4 - 2 - 0 - 1		197
	17	9		17 - 10 - 5 - 4 - 9		218
	2	7		2 - 0 - 1 - 16 - 4 - 5 - 6 - 7		202
	7	1		7 - 6 - 4 - 2 - 0 - 1		354
	15	10		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10		309
	18	1		18 - 5 - 4 - 2 - 1		250
	6	13		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		415
	7	2		7 - 6 - 4 - 2		255
	5	17		5 - 4 - 2 - 0 - 1 - 16 - 17		314
	10	15		10 - 5 - 4 - 2 - 0 - 15		325
	18	9		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9		17
	15	8		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		89
	8	16		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16		25
	18	5		18 - 5		344
	15	1		15 - 0 - 1		129
	6	18		6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		149
	2	5		2 - 0 - 1 - 16 - 4 - 5		413
	12	0		12 - 11 - 9 - 4 - 2 - 0		160
	0	7		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7		270
	18	17		18 - 5 - 4 - 2 - 0 - 15 - 17		256
	17	14		17 - 10 - 5 - 4 - 15 - 14		411
	0	8		0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		421
	15	6		15 - 0 - 1 - 2 - 3 - 4 - 5 - 6		102
	4	17		4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		172
	5	8		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 8		58
	4	11		4 - 2 - 0 - 1 - 16 - 5 - 9 - 11		259
	2	8		2 - 0 - 1 - 16 - 4 - 5 - 9 - 8		169
	17	0		17 - 10 - 5 - 4 - 2 - 0		199
	15	17		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10 - 17		67
	2	0		2 - 0		295
	16	1		16 - 1		1
	17	7		17 - 10 - 5 - 4 - 6 - 7		259
	9	3		9 - 4 - 3		307
	6	3		6 - 4 - 3		30
	9	11		9 - 4 - 2 - 0 - 15 - 11		424


Solucion numero: 5
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	0	12		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		193
	0	13		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		45
	0	14		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		131
	1	12		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		349
428
	1	13		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		117
299
	1	14		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		234
2
	3	12		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		375
	3	13		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		306
	3	14		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		200
	16	12		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12		357
	16	13		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12 - 13		151
	16	14		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 14		94
	0	17		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		208
	0	18		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		379
	1	0		1 - 0		96
	1	5		1 - 0 - 2 - 3 - 4 - 5		403
	1	6		1 - 0 - 2 - 3 - 4 - 5 - 6		296
	1	10		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		252
165
	1	11		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		130
216
	0	5		0 - 1 - 2 - 3 - 4 - 5		87
	0	6		0 - 1 - 2 - 3 - 4 - 5 - 6		327
	0	10		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		180
	1	15		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		58
442
	1	16		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 17 - 16		279
298
	1	17		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		335
136
	1	18		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		267
248
	2	3		2 - 0 - 1 - 16 - 4 - 3		78
	2	12		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		236
	2	13		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		339
	2	14		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		344
	3	0		3 - 2 - 0		61
	3	2		3 - 2		148
	3	4		3 - 2 - 0 - 1 - 16 - 4		320
	3	5		3 - 2 - 0 - 1 - 16 - 4 - 5		149
	3	6		3 - 2 - 0 - 1 - 16 - 4 - 5 - 6		10
	3	10		3 - 2 - 0 - 1 - 16 - 4 - 5 - 10		59
	3	11		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 11		194
	0	11		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		124
	0	1		0 - 1		61
	0	2		0 - 1 - 2		157
	3	15		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 15		366
	3	18		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 18		224
	4	3		4 - 3		306
	4	12		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 12		169
	4	13		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 12 - 13		53
	4	14		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 14		162
	5	3		5 - 4 - 3		159
	5	4		5 - 4		91
	8	3		8 - 7 - 6 - 4 - 3		383
	8	4		8 - 7 - 6 - 4		94
	8	12		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		338
	8	13		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		215
	8	14		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		250
	10	3		10 - 5 - 4 - 3		204
	10	4		10 - 5 - 4		446
	12	11		12 - 11		188
	13	12		13 - 12		294
	15	13		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 12 - 13		160
	16	0		16 - 1 - 0		121
	16	5		16 - 1 - 0 - 2 - 3 - 4 - 5		142
	16	6		16 - 1 - 0 - 2 - 3 - 4 - 5 - 6		230
	16	10		16 - 1 - 0 - 2 - 3 - 4 - 5 - 10		329
	16	11		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 11		212
	0	3		0 - 1 - 2 - 3		184
	0	15		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		218
	0	16		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 17 - 16		25
	16	15		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 15		271
	16	18		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 18		323
	18	3		18 - 5 - 4 - 3		414
	18	4		18 - 5 - 4		89
	2	6		2 - 0 - 1 - 16 - 4 - 5 - 6		353
	3	7		3 - 2 - 0 - 1 - 16 - 4 - 5 - 6 - 7		444
	5	6		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 7 - 6		246
	6	7		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 7		417
	6	8		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		422
	7	3		7 - 6 - 4 - 3		69
	7	4		7 - 6 - 4		431
	7	6		7 - 6		326
	7	8		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		209
	7	12		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		297
	7	13		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		382
	7	14		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		308
	8	0		8 - 7 - 6 - 4 - 2 - 0		296
	8	1		8 - 7 - 6 - 4 - 2 - 0 - 1		335
	8	2		8 - 7 - 6 - 4 - 2		3
	3	8		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 8		104
	2	10		2 - 0 - 1 - 16 - 4 - 5 - 10		72
	8	5		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5		253
	8	6		8 - 7 - 6		444
	8	7		8 - 7		210
	8	9		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		0
	8	10		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		409
	8	11		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		274
	2	11		2 - 0 - 1 - 16 - 4 - 5 - 9 - 11		186
	1	7		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7		384
	1	8		1 - 0 - 2 - 3 - 4 - 5 - 9 - 8		283
	8	15		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		106
	8	17		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		74
	8	18		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		6
	9	8		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6 - 7 - 8		391
	10	0		10 - 5 - 4 - 2 - 0		358
	10	2		10 - 5 - 4 - 2		357
	7	18		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		399
	13	3		13 - 12 - 11 - 9 - 4 - 3		409
	9	0		9 - 4 - 2 - 0		363
	16	7		16 - 1 - 0 - 2 - 3 - 4 - 5 - 6 - 7		6
	17	10		17 - 10		242
	4	6		4 - 2 - 0 - 1 - 16 - 5 - 6		132
	16	4		16 - 1 - 0 - 2 - 4		68
	6	4		6 - 4		298
	15	4		15 - 0 - 1 - 2 - 4		3
	13	0		13 - 12 - 11 - 9 - 4 - 2 - 0		384
	18	2		18 - 5 - 4 - 2		12
	18	0		18 - 5 - 4 - 2 - 0		218
	6	1		6 - 4 - 2 - 0 - 1		395
	4	16		4 - 2 - 0 - 1 - 16		34
	2	15		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 15		81
	12	1		12 - 11 - 9 - 4 - 2 - 1		142
	10	11		10 - 5 - 4 - 2 - 0 - 15 - 11		436
	2	17		2 - 0 - 1 - 16 - 4 - 5 - 10 - 17		447
	2	4		2 - 0 - 1 - 16 - 4		312
	18	7		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7		122
	13	14		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 14		153
	11	10		11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		88
	12	2		12 - 11 - 9 - 4 - 2		285
	9	7		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6 - 7		309
	10	9		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9		212
	13	8		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		421
	17	8		17 - 10 - 5 - 4 - 6 - 7 - 8		280
	7	9		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		143
	12	3		12 - 11 - 9 - 4 - 3		105
	12	18		12 - 11 - 9 - 4 - 2 - 1 - 16 - 18		177
	12	13		12 - 11 - 9 - 4 - 2 - 0 - 15 - 13		424
	10	6		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7 - 6		389
	15	7		15 - 0 - 1 - 2 - 3 - 4 - 5 - 6 - 7		307
	17	1		17 - 10 - 5 - 4 - 2 - 1		57
	7	16		7 - 6 - 4 - 2 - 0 - 1 - 16		322
	6	5		6 - 4 - 2 - 0 - 1 - 16 - 5		310
	5	16		5 - 4 - 2 - 0 - 1 - 16		42
	11	17		11 - 9 - 4 - 2 - 0 - 15 - 17		58
	18	12		18 - 5 - 4 - 2 - 0 - 15 - 11 - 12		254
	13	6		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		84
	12	4		12 - 11 - 9 - 4		328
	1	3		1 - 0 - 2 - 3		400
	11	15		11 - 9 - 4 - 2 - 0 - 15		140
	12	10		12 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		197
	15	0		15 - 0		35
	14	0		14 - 11 - 9 - 4 - 2 - 0		38
	9	1		9 - 4 - 2 - 0 - 1		97
	9	12		9 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 12		277
	17	11		17 - 10 - 5 - 4 - 9 - 11		104
	13	4		13 - 12 - 11 - 9 - 4		271
	14	18		14 - 11 - 9 - 4 - 2 - 1 - 16 - 18		433
	17	16		17 - 10 - 5 - 4 - 16		158
	15	16		15 - 0 - 1 - 2 - 3 - 4 - 5 - 16		437
	12	6		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		392
	3	17		3 - 2 - 0 - 1 - 16 - 4 - 5 - 10 - 17		203
	9	14		9 - 4 - 2 - 0 - 1 - 16 - 15 - 14		400
	12	9		12 - 11 - 9		344
	17	12		17 - 10 - 5 - 4 - 9 - 11 - 12		128
	16	2		16 - 1 - 0 - 2		318
	6	15		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		214
	15	3		15 - 0 - 1 - 2 - 3		159
	14	8		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		101
	12	16		12 - 11 - 9 - 4 - 2 - 1 - 16		446
	2	9		2 - 0 - 1 - 16 - 4 - 5 - 9		390
	1	2		1 - 0 - 2		26
	15	18		15 - 0 - 1 - 2 - 3 - 4 - 5 - 18		5
	6	17		6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		333
	17	3		17 - 10 - 5 - 4 - 3		67
	11	16		11 - 9 - 4 - 2 - 1 - 16		412
	10	5		10 - 5		294
	1	4		1 - 0 - 2 - 4		75
	6	12		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		233
	7	15		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		115
	17	5		17 - 10 - 5		277
	0	4		0 - 1 - 2 - 4		18
	18	15		18 - 5 - 4 - 2 - 0 - 15		71
	14	3		14 - 11 - 9 - 4 - 3		77
	6	0		6 - 4 - 2 - 0		195
	3	16		3 - 2 - 0 - 1 - 16		369
	4	8		4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		32
	10	14		10 - 5 - 4 - 2 - 0 - 15 - 14		290
	17	15		17 - 10 - 5 - 4 - 15		382
	2	16		2 - 0 - 1 - 16		63
	9	17		9 - 4 - 2 - 0 - 1 - 16 - 17		168
	2	1		2 - 0 - 1		433
	7	17		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		227
	13	5		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5		280
	15	12		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 12		40
	14	2		14 - 11 - 9 - 4 - 2		266
	10	7		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7		241
	10	16		10 - 5 - 4 - 2 - 1 - 16		2
	13	7		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		300
	7	11		7 - 6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		398
	18	10		18 - 5 - 4 - 2 - 0 - 15 - 11 - 10		151
	16	17		16 - 1 - 0 - 2 - 3 - 4 - 5 - 10 - 17		108
	9	10		9 - 4 - 2 - 0 - 15 - 11 - 10		372
	11	14		11 - 9 - 4 - 2 - 0 - 15 - 14		213
	12	7		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		189
	9	15		9 - 4 - 2 - 0 - 1 - 16 - 15		175
	5	7		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 7		413
	1	9		1 - 0 - 2 - 3 - 4 - 5 - 9		80
	17	6		17 - 10 - 5 - 4 - 6		443
	18	14		18 - 5 - 4 - 2 - 0 - 15 - 14		157
	12	5		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5		86
	14	9		14 - 11 - 9		276
	12	14		12 - 11 - 9 - 4 - 2 - 0 - 15 - 14		299
	6	11		6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		238
	18	11		18 - 5 - 4 - 2 - 0 - 15 - 11		397
	10	12		10 - 5 - 4 - 2 - 0 - 15 - 11 - 12		152
	10	13		10 - 5 - 4 - 2 - 0 - 15 - 13		83
	16	9		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9		19
	13	1		13 - 12 - 11 - 9 - 4 - 2 - 1		304
	15	14		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 14		190
	5	18		5 - 4 - 2 - 0 - 1 - 16 - 18		54
	6	2		6 - 4 - 2		92
	13	16		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16		164
	13	11		13 - 12 - 11		307
	9	13		9 - 4 - 2 - 0 - 1 - 16 - 15 - 13		161
	18	16		18 - 5 - 4 - 2 - 1 - 16		36
	9	5		9 - 4 - 2 - 0 - 1 - 16 - 5		315
	5	0		5 - 4 - 2 - 0		311
	11	13		11 - 9 - 4 - 2 - 0 - 15 - 13		445
	5	15		5 - 4 - 2 - 0 - 15		69
	12	8		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		206
	5	10		5 - 4 - 2 - 0 - 15 - 11 - 10		316
	16	3		16 - 1 - 0 - 2 - 3		215
	4	2		4 - 2		390
	5	13		5 - 4 - 2 - 0 - 1 - 16 - 15 - 13		230
	18	13		18 - 5 - 4 - 2 - 0 - 15 - 13		27
	14	12		14 - 11 - 9 - 4 - 2 - 0 - 15 - 13 - 12		19
	9	6		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6		351
	14	17		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17		420
	10	18		10 - 5 - 4 - 2 - 1 - 16 - 18		165
	14	5		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5		282
	14	16		14 - 11 - 9 - 4 - 2 - 1 - 16		8
	4	10		4 - 2 - 0 - 1 - 16 - 5 - 10		158
	6	14		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		275
	15	2		15 - 0 - 1 - 2		130
	11	12		11 - 9 - 4 - 2 - 0 - 15 - 13 - 12		302
	12	17		12 - 11 - 9 - 4 - 2 - 0 - 15 - 17		202
	5	14		5 - 4 - 2 - 0 - 1 - 16 - 15 - 14		163
	13	17		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 17		232
	7	10		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		401
	5	9		5 - 4 - 2 - 0 - 15 - 11 - 9		64
	5	12		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 12		181
	14	11		14 - 11		253
	3	1		3 - 2 - 0 - 1		139
	14	15		14 - 11 - 9 - 4 - 2 - 0 - 15		425
	18	8		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 8		416
	5	2		5 - 4 - 2		313
	6	9		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		110
	14	4		14 - 11 - 9 - 4		448
	3	9		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9		120
	16	8		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 8		346
	17	2		17 - 10 - 5 - 4 - 2		28
	9	16		9 - 4 - 2 - 0 - 1 - 16		145
	14	7		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		179
	18	6		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7 - 6		418
	5	11		5 - 4 - 2 - 0 - 15 - 11		16
	11	9		11 - 9		89
	17	13		17 - 10 - 5 - 4 - 15 - 13		338
	9	18		9 - 4 - 2 - 0 - 1 - 16 - 18		118
	13	2		13 - 12 - 11 - 9 - 4 - 2		378
	14	1		14 - 11 - 9 - 4 - 2 - 1		330
	4	5		4 - 2 - 0 - 1 - 16 - 5		89
	7	5		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5		112
	14	10		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		102
	7	0		7 - 6 - 4 - 2 - 0		148
	15	5		15 - 0 - 1 - 2 - 3 - 4 - 5		134
	4	18		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 18		44
	11	18		11 - 9 - 4 - 2 - 1 - 16 - 18		29
	14	6		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		406
	4	15		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 15		419
	12	15		12 - 11 - 9 - 4 - 2 - 0 - 15		56
	15	9		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9		24
	5	1		5 - 4 - 2 - 1		248
	4	0		4 - 2 - 0		383
	10	1		10 - 5 - 4 - 2 - 1		427
	4	7		4 - 2 - 0 - 1 - 16 - 5 - 6 - 7		263
	9	2		9 - 4 - 2		31
	6	16		6 - 4 - 2 - 0 - 1 - 16		235
	9	4		9 - 4		24
	17	4		17 - 10 - 5 - 4		321
	6	10		6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		345
	13	15		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15		192
	17	18		17 - 10 - 5 - 4 - 16 - 18		328
	13	9		13 - 12 - 11 - 9		175
	10	8		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 8		229
	13	10		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		336
	13	18		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 18		332
	0	9		0 - 1 - 2 - 3 - 4 - 5 - 9		28
	4	9		4 - 2 - 0 - 1 - 16 - 5 - 9		352
	2	18		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 18		107
	10	17		10 - 5 - 4 - 2 - 0 - 15 - 17		21
	14	13		14 - 11 - 9 - 4 - 2 - 0 - 15 - 13		170
	15	11		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11		431
	4	1		4 - 2 - 0 - 1		79
	17	9		17 - 10 - 5 - 4 - 9		224
	2	7		2 - 0 - 1 - 16 - 4 - 5 - 6 - 7		321
	7	1		7 - 6 - 4 - 2 - 0 - 1		75
	15	10		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10		365
	18	1		18 - 5 - 4 - 2 - 1		260
	6	13		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		364
	7	2		7 - 6 - 4 - 2		342
	5	17		5 - 4 - 2 - 0 - 1 - 16 - 17		360
	10	15		10 - 5 - 4 - 2 - 0 - 15		4
	18	9		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9		22
	15	8		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		121
	8	16		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16		244
	18	5		18 - 5		447
	15	1		15 - 0 - 1		381
	6	18		6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		231
	2	5		2 - 0 - 1 - 16 - 4 - 5		361
	12	0		12 - 11 - 9 - 4 - 2 - 0		171
	0	7		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7		290
	18	17		18 - 5 - 4 - 2 - 0 - 15 - 17		303
	17	14		17 - 10 - 5 - 4 - 15 - 14		345
	0	8		0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		239
	15	6		15 - 0 - 1 - 2 - 3 - 4 - 5 - 6		405
	4	17		4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		423
	5	8		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 8		255
	4	11		4 - 2 - 0 - 1 - 16 - 5 - 9 - 11		448
	2	8		2 - 0 - 1 - 16 - 4 - 5 - 9 - 8		50
	17	0		17 - 10 - 5 - 4 - 2 - 0		13
	15	17		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10 - 17		103
	2	0		2 - 0		405
	16	1		16 - 1		322
	17	7		17 - 10 - 5 - 4 - 6 - 7		377
	9	3		9 - 4 - 3		89
	6	3		6 - 4 - 3		360
	9	11		9 - 4 - 2 - 0 - 15 - 11		150


Solucion numero: 6
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	0	12		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		175
	0	13		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		88
	0	14		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		100
	1	12		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		242
295
	1	13		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		154
248
	1	14		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		140
159
	3	12		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		104
	3	13		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		53
	3	14		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		201
	16	12		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12		297
	16	13		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12 - 13		380
	16	14		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 14		258
	0	17		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		116
	0	18		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		347
	1	0		1 - 0		356
	1	5		1 - 0 - 2 - 3 - 4 - 5		99
	1	6		1 - 0 - 2 - 3 - 4 - 5 - 6		193
	1	10		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		11
253
	1	11		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		40
17
	0	5		0 - 1 - 2 - 3 - 4 - 5		340
	0	6		0 - 1 - 2 - 3 - 4 - 5 - 6		181
	0	10		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		78
	1	15		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		70
407
	1	16		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 17 - 16		118
206
	1	17		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		395
66
	1	18		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		174
55
	2	3		2 - 0 - 1 - 16 - 4 - 3		176
	2	12		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		393
	2	13		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		26
	2	14		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		431
	3	0		3 - 2 - 0		398
	3	2		3 - 2		311
	3	4		3 - 2 - 0 - 1 - 16 - 4		217
